,ID,HM_enlarge_time
0,sub001,8.268333333333334
0,sub002,14.923333333333334
0,sub003,9.5225
0,sub004,
0,sub005,26.4675
0,sub006,
0,sub007,
0,sub008,10.245555555555555
0,sub009,40.056111111111115
0,sub010,
0,sub011,
0,sub012,11.542777777777777
0,sub013,26.464166666666667
0,sub014,
0,sub015,
0,sub016,
0,sub017,14.870277777777778
0,sub018,15.571111111111112
0,sub019,18.320833333333333
0,sub020,
0,sub021,
0,sub022,
0,sub023,28.161666666666665
0,sub024,
0,sub025,24.189722222222223
0,sub026,22.575833333333332
0,sub027,30.426666666666666
0,sub028,17.369999999999997
0,sub029,
0,sub030,
0,sub031,
0,sub032,
0,sub033,30.813055555555554
0,sub034,
0,sub035,20.87472222222222
0,sub036,39.501111111111115
0,sub037,15.581111111111111
0,sub038,15.809166666666666
0,sub039,29.176111111111112
0,sub040,11.68361111111111
0,sub041,
0,sub042,
0,sub043,33.486111111111114
0,sub044,
0,sub045,
0,sub046,
0,sub047,20.823611111111113
0,sub048,12.860833333333334
0,sub049,
0,sub050,
0,sub051,
0,sub052,
0,sub053,
0,sub054,16.225
0,sub055,39.93666666666667
0,sub056,
0,sub057,14.615833333333333
0,sub058,21.66
0,sub059,
0,sub060,23.726111111111113
0,sub061,6.541666666666667
0,sub062,
0,sub063,27.761666666666667
0,sub064,
0,sub065,
0,sub066,
0,sub067,
0,sub068,
0,sub069,
0,sub070,9.653333333333332
0,sub071,16.259999999999998
0,sub072,19.6525
0,sub073,
0,sub074,
0,sub075,
0,sub076,15.993611111111111
0,sub077,14.119444444444444
0,sub078,
0,sub079,27.84722222222222
0,sub080,20.573333333333334
0,sub081,27.421666666666667
0,sub082,
0,sub083,
0,sub084,13.4425
0,sub085,15.613333333333333
0,sub086,
0,sub087,16.54861111111111
0,sub088,34.7575
0,sub089,
0,sub090,
0,sub091,26.086666666666666
0,sub092,11.924722222222222
0,sub093,
0,sub094,
0,sub095,7.431666666666667
0,sub096,
0,sub097,31.925555555555555
0,sub098,42.75666666666667
0,sub099,17.672777777777778
0,sub100,34.73111111111111
